Y_true,Y_pred
2,9.50224
45,11.197936
3,11.120179
10,11.215899
15,10.966518
18,10.089826
7,9.399193
13,10.009832
19,11.749681
17,10.766647
8,8.551892
15,11.019996
13,11.072642
40,10.073466
10,11.589396
12,11.651156
11,11.629883
22,9.292612
13,10.773074
14,11.02886
18,10.748036
1,11.749681
20,11.793122
12,10.305041
11,10.078893
4,7.959623
3,11.086812
3,10.994435
16,15.126174
6,10.173486
22,11.428339
15,11.731362
14,10.280351
4,9.766112
12,11.651156
12,10.085002
6,11.526459
9,11.083575
20,12.372739
2,10.711587
17,10.748036
8,10.454963
17,10.140824
11,11.086812
25,11.428339
11,11.73517
4,8.751684
12,11.760614
6,10.39227
10,11.025052
8,11.250219
22,10.011706
22,11.681933
25,12.279464
38,9.335566
24,11.79693
11,10.219227
2,12.33416
13,15.218194
7,10.96156
16,10.815265
11,10.140824
26,11.125167
3,8.920321
19,11.61895
12,12.498484
4,10.203333
25,12.39592
7,10.195546
4,11.687922
14,10.748328
7,11.651156
10,10.130252
17,12.39592
20,9.010113
5,9.721521
1,10.0878935
18,9.912673
1,9.568747
12,10.946825
13,9.554498
8,10.53321
13,11.793122
4,9.885924
14,9.408717
8,8.272515
11,12.245391
2,8.826526
10,11.793122
28,8.912137
5,10.486184
9,11.75064
10,10.515155
19,10.138329
5,10.926395
7,12.279464
2,12.74143
3,10.054214
5,9.292612
13,9.259125
7,10.138329
4,10.942396
1,10.876982
6,11.086812
5,9.780771
3,10.659714
6,8.262798
9,11.752705
7,11.125167
3,10.0909815
23,9.416615
18,7.959623
7,11.286366
6,11.424531
11,10.764055
9,10.9505
4,11.023804
14,11.428339
6,10.9628725
9,14.756755
3,9.772719
7,11.072642
11,10.804859
26,14.576086
10,10.089826
8,9.851946
3,12.38175
5,10.569367
16,11.749681
9,11.684595
15,10.515155
12,9.710014
4,7.085829
18,11.015204
1,7.7638497
8,11.428339
18,9.796791
22,15.126174
6,11.5932045
10,9.930289
3,10.5584345
6,11.800812
5,11.424531
2,11.654964
18,9.643562
23,10.3249855
3,9.764606
3,11.072642
8,10.990083
4,8.888142
4,11.793122
15,10.219227
14,11.749681
5,10.748036
17,8.941308
7,9.529138
5,10.659714
8,11.635403
6,10.073466
13,15.435554
4,11.73517
11,11.793122
5,11.09062
16,12.39592
10,11.694144
9,11.125167
16,9.259125
15,9.900296
5,8.778261
24,10.766647
